,Path,Width,Height,Pixels
0,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-07-16.tif,223,300,66900
1,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-09-28.tif,223,300,66900
2,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-08-29.tif,223,300,66900
3,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-08-24.tif,223,300,66900
4,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-07-21.tif,223,300,66900
5,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-10-09.tif,223,300,66900
6,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-08-07.tif,223,300,66900
7,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-09-01.tif,223,300,66900
8,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-09-17.tif,223,300,66900
9,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-07-17.tif,223,300,66900
10,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-10-06.tif,223,300,66900
11,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-07-26.tif,223,300,66900
12,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-08-01.tif,223,300,66900
13,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-09-19.tif,223,300,66900
14,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-09-09.tif,223,300,66900
15,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-08-10.tif,223,300,66900
16,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-08-03.tif,223,300,66900
17,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-08-02.tif,223,300,66900
18,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-09-10.tif,223,300,66900
19,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-09-13.tif,223,300,66900
20,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-09-27.tif,223,300,66900
21,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-07-25.tif,223,300,66900
22,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-07-13.tif,223,300,66900
23,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-08-22.tif,223,300,66900
24,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-10-11.tif,223,300,66900
25,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-07-28.tif,223,300,66900
26,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-08-18.tif,223,300,66900
27,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-08-05.tif,223,300,66900
28,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-08-28.tif,223,300,66900
29,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-09-24.tif,223,300,66900
30,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-10-13.tif,223,300,66900
31,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-08-11.tif,223,300,66900
32,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-10-03.tif,223,300,66900
33,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-08-12.tif,223,300,66900
34,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-09-20.tif,223,300,66900
35,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-09-25.tif,223,300,66900
36,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-07-29.tif,223,300,66900
37,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-07-14.tif,223,300,66900
38,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-09-06.tif,223,300,66900
39,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-10-12.tif,223,300,66900
40,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-09-14.tif,223,300,66900
41,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-10-02.tif,223,300,66900
42,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-07-24.tif,223,300,66900
43,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-10-10.tif,223,300,66900
44,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-09-30.tif,223,300,66900
45,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-09-12.tif,223,300,66900
46,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-08-23.tif,223,300,66900
47,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-09-22.tif,223,300,66900
48,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-10-01.tif,223,300,66900
49,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-07-22.tif,223,300,66900
50,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-09-05.tif,223,300,66900
51,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-09-21.tif,223,300,66900
52,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-09-08.tif,223,300,66900
53,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-08-16.tif,223,300,66900
54,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-09-03.tif,223,300,66900
55,/kaggle/input/wildfirespreadts/WildfireSpreadTS/2018/fire_21889697/2018-08-25.tif,223,300,66900
